depth_top (m),depth_bott (m),depth_mid (m),ageGICC05ext_top (yr BP),ageGICC05ext_bott (yr BP),ageGICC05_mid (yr BP),NH4source (ng/m3),NH4source+1sigma (ng/m3),NH4source-1sigma (ng/m3),NH4 atm. residence time (days),Nasource (ng/m3),Nasource+1sigma (ng/m3),Nasource-1sigma (ng/m3),Na atm. residence time (days),Casource (ng/m3),Casource+1sigma (ng/m3),Casource-1sigma (ng/m3),Ca atm. residence time (days)
1151.7790,1152.7085,1152.2438,7345.4211,7355.0018,7350.2115,13.688,26.012,1.3642,4.62,175.26,446.59,-96.07,1.54,32.87,81.60,-15.87,6.98
1152.7085,1153.6710,1153.1898,7355.0018,7364.9562,7359.9790,39.513,74.995,4.0314,4.64,163.54,415.77,-88.69,1.55,23.55,58.34,-11.23,7.00
1153.6710,1154.6980,1154.1845,7364.9562,7375.1890,7370.0726,70.027,132.88,7.1758,4.65,111.93,284.45,-60.59,1.55,20.89,51.71,-9.94,7.01
1154.6980,1155.7520,1155.2250,7375.1890,7384.8652,7380.0271,80.932,153.49,8.3745,4.65,103.96,263.92,-55.99,1.55,41.01,101.45,-19.43,7.01
1155.7520,1156.7025,1156.2273,7384.8652,7394.8139,7389.8395,NaN,NaN,NaN,4.66,NaN,NaN,NaN,1.55,NaN,#VALUE!,#VALUE!,7.02
1156.7025,1157.6010,1157.1518,7394.8139,7405.2652,7400.0395,103.88,196.77,10.995,4.67,138.44,350.52,-73.64,1.56,26.71,65.95,-12.54,7.03
1157.6010,1158.6030,1158.1020,7405.2652,7414.8206,7410.0429,110.31,208.9,11.726,4.67,100.59,254.58,-53.41,1.56,29.52,72.86,-13.82,7.03
1158.6030,1159.6295,1159.1163,7414.8206,7425.0488,7419.9347,134.24,254.54,13.935,4.65,155.71,395.08,-83.67,1.55,38.79,95.94,-18.37,7.01
1159.6295,1160.6375,1160.1335,7425.0488,7435.1364,7430.0926,102.02,194.05,9.9975,4.61,84.34,215.26,-46.58,1.54,42.40,105.44,-20.64,6.97
1160.6375,1161.6460,1161.1418,7435.1364,7445.2288,7440.1826,85.982,163.73,8.2357,4.59,125.82,321.79,-70.16,1.53,49.23,122.69,-24.24,6.95
1161.6460,1162.6545,1162.1503,7445.2288,7454.7760,7450.0024,100.49,191.22,9.7504,4.60,133.26,340.34,-73.82,1.53,46.82,116.61,-22.96,6.96
1162.6545,1163.6990,1163.1768,7454.7760,7465.0748,7459.9254,46.004,87.496,4.5107,4.60,133.17,339.75,-73.42,1.53,12.36,30.75,-6.03,6.96
1163.6990,1164.7350,1164.2170,7465.0748,7475.1110,7470.0929,107.31,204,10.624,4.62,76.67,195.45,-42.12,1.54,39.95,99.27,-19.38,6.97
1164.7350,1165.8215,1165.2783,7475.1110,7485.2464,7480.1787,183.86,349.89,17.828,4.60,94.66,241.83,-52.50,1.53,35.28,87.83,-17.27,6.96
1165.8215,1166.9395,1166.3805,7485.2464,7494.6731,7489.9597,132.16,252.16,12.158,4.56,111.69,286.73,-63.35,1.52,32.52,81.34,-16.30,6.92
1166.9395,1167.9905,1167.4650,7494.6731,7504.6753,7499.6742,115.27,220.17,10.377,4.55,109.25,281.02,-62.52,1.52,30.82,77.21,-15.58,6.91
1167.9905,1168.9530,1168.4718,7504.6753,7515.1571,7509.9162,187.24,357.48,17.005,4.56,114.82,295.16,-65.51,1.52,27.51,68.87,-13.84,6.91
1168.9530,1169.8960,1169.4245,7515.1571,7525.2288,7520.1929,91.54,174.5,8.5844,4.59,123.55,316.79,-69.69,1.53,42.09,104.99,-20.81,6.94
1169.8960,1170.8950,1170.3955,7525.2288,7535.2224,7530.2256,54.677,103.96,5.3969,4.64,175.88,449.07,-97.30,1.54,34.28,85.01,-16.46,7.00
1170.8950,1171.9395,1171.4173,7535.2224,7544.9955,7540.1090,114.62,217.61,11.633,4.66,131.11,333.91,-71.70,1.55,39.83,98.48,-18.82,7.02
1171.9395,1173.0400,1172.4898,7544.9955,7555.0000,7549.9977,83.734,158.9,8.571,4.67,170.50,433.86,-92.86,1.56,38.70,95.60,-18.20,7.03
1173.0400,1174.1035,1173.5718,7555.0000,7564.7872,7559.8936,84.691,160.37,9.013,4.70,73.59,186.52,-39.34,1.57,22.35,54.99,-10.29,7.06
1174.1035,1174.9835,1174.5435,7564.7872,7574.7525,7569.7698,NaN,NaN,NaN,4.76,NaN,NaN,NaN,1.59,NaN,#VALUE!,#VALUE!,7.13
1174.9835,1175.7285,1175.3560,7574.7525,7584.8685,7579.8105,NaN,NaN,NaN,4.79,NaN,NaN,NaN,1.60,NaN,#VALUE!,#VALUE!,7.15
1175.7285,1176.5535,1176.1410,7584.8685,7595.5810,7590.2248,71.399,134.74,8.0584,4.77,71.54,180.27,-37.20,1.59,27.68,67.61,-12.25,7.13
1176.5535,1177.5505,1177.0520,7595.5810,7605.0045,7600.2928,157.83,298.32,17.341,4.74,67.32,170.17,-35.53,1.58,26.61,65.17,-11.95,7.11
1177.5505,1178.5325,1178.0415,7605.0045,7614.8223,7609.9134,92.237,174.57,9.9079,4.72,120.52,305.36,-64.31,1.57,30.86,75.77,-14.06,7.08
1178.5325,1179.3575,1178.9450,7614.8223,7625.0045,7619.9134,118.63,224.35,12.907,4.73,56.34,142.51,-29.83,1.58,18.83,46.19,-8.54,7.09
1179.3575,1180.2085,1179.7830,7625.0045,7635.0018,7630.0032,104.57,197.19,11.959,4.77,87.83,220.86,-45.21,1.59,31.46,76.81,-13.90,7.13
1180.2085,1181.1710,1180.6898,7635.0018,7645.3650,7640.1834,67.023,126.15,7.8968,4.80,78.88,197.66,-39.90,1.60,25.13,61.16,-10.90,7.16
1181.1710,1182.2940,1181.7325,7645.3650,7655.0576,7650.2113,55.389,104.16,6.6178,4.81,72.84,182.25,-36.57,1.60,21.84,53.06,-9.38,7.18
1182.2940,1183.3940,1182.8440,7655.0576,7664.7884,7659.9230,36.395,68.499,4.2911,4.80,76.33,191.27,-38.61,1.60,37.34,90.87,-16.18,7.16
1183.3940,1184.3665,1183.8803,7664.7884,7674.9444,7669.8664,NaN,NaN,NaN,4.76,NaN,NaN,NaN,1.59,NaN,#VALUE!,#VALUE!,7.12
1184.3665,1185.2830,1184.8248,7674.9444,7685.1954,7680.0699,80.848,153.01,8.6853,4.71,74.85,189.49,-39.78,1.57,32.54,80.03,-14.95,7.07
1185.2830,1186.1470,1185.7150,7685.1954,7694.8429,7690.0192,24.696,46.926,2.4657,4.65,50.52,128.85,-27.82,1.55,9.23,22.86,-4.40,7.01
1186.1470,1187.0180,1186.5825,7694.8429,7705.1833,7700.0131,101.29,193.09,9.4795,4.60,123.15,316.01,-69.72,1.53,29.85,74.39,-14.69,6.95
1187.0180,1187.8825,1187.4503,7705.1833,7714.8223,7710.0028,104.75,200.3,9.2086,4.55,77.56,200.07,-44.95,1.51,26.14,65.53,-13.25,6.90
