NEEM ion concentration data in 10 yr resolution,,,,,,,,,,
,,,,,,,,,,
"Reference: Schüpbach et al., Greenland records of aerosol source and atmospheric lifetime changes from the Eemian to the Holocene, Nature Communications, 2018",,,,,,,,,,
,,,,,,,,,,
Column A: ,NEEM depth in m below the surface of top of 10 yr interval,,,,,,,,,
Column B: ,NEEM depth in m below the surface of bottom of 10 yr interval,,,,,,,,,
Column C: ,NEEM depth in m below the surface of middle of 10 yr interval,,,,,,,,,
Column D:,"GICC05 age of the top of the 10 yr interval applied to the NEEM ice core (Rasmussen et al., 2013) in years before present (where present is defined as 1950).",,,,,,,,,
Column E:,"GICC05 age of the bottom of the 10 yr interval applied to the NEEM ice core (Rasmussen et al., 2013) in years before present (where present is defined as 1950).",,,,,,,,,
Column F:,"GICC05 age of the middle of the 10 yr interval applied to the NEEM ice core (Rasmussen et al., 2013) in years before present (where present is defined as 1950).",,,,,,,,,
Column G:,mean NH4+ ice concentration of each 10 yr interval in ng/g (missing values indicated by NaN),,,,,,,,,
Column H:,mean NO3- ice concentration of each 10 yr interval in ng/g (missing values indicated by NaN),,,,,,,,,
Column I:,mean Na+ ice concentration of each 10 yr interval in ng/g (missing values indicated by NaN),,,,,,,,,
Column J:,mean Ca2+ ice concentration of each 10 yr interval in ng/g (missing values indicated by NaN),,,,,,,,,
Column K:,meanSO42- ice concentration of each 10 yr interval in ng/g (missing values indicated by NaN),,,,,,,,,
,,,,,,,,,,
"further reference: Rasmussen et al., A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Climate of the Past 9, 2713–2730, doi:10.5194/cp-9-2713-2013 (2013).",,,,,,,,,,
,,,,,,,,,,
depth_top (m),depth_bott (m),depth_mid (m),ageGICC05ext_top (yr BP),ageGICC05ext_bott (yr BP),ageGICC05_mid (yr BP),NH4 (ng/g),NO3 (ng/g),Na (ng/g),Ca (ng/g),SO4 (ng/g)
1174.9835,1175.7285,1175.3560,7574.7525,7584.8685,7579.8105,NaN,NaN,NaN,NaN,NaN
1175.7285,1176.5535,1176.1410,7584.8685,7595.5810,7590.2248,4.54,58.65,6.07,7.03,NaN
1176.5535,1177.5505,1177.0520,7595.5810,7605.0045,7600.2928,9.98,80.60,5.65,6.72,NaN
1177.5505,1178.5325,1178.0415,7605.0045,7614.8223,7609.9134,5.79,81.68,9.99,7.74,NaN
1178.5325,1179.3575,1178.9450,7614.8223,7625.0045,7619.9134,7.47,89.37,4.68,4.73,NaN
1179.3575,1180.2085,1179.7830,7625.0045,7635.0018,7630.0032,6.66,93.91,7.46,7.99,NaN
1180.2085,1181.1710,1180.6898,7635.0018,7645.3650,7640.1834,4.30,69.69,6.80,6.44,NaN
1181.1710,1182.2940,1181.7325,7645.3650,7655.0576,7650.2113,3.57,85.41,6.33,5.62,NaN
1182.2940,1183.3940,1182.8440,7655.0576,7664.7884,7659.9230,2.34,67.22,6.58,9.57,NaN
1183.3940,1184.3665,1183.8803,7664.7884,7674.9444,7669.8664,NaN,NaN,NaN,NaN,NaN
1184.3665,1185.2830,1184.8248,7674.9444,7685.1954,7680.0699,5.06,82.29,6.15,8.12,NaN
1185.2830,1186.1470,1185.7150,7685.1954,7694.8429,7690.0192,1.52,54.19,4.02,2.26,NaN
1186.1470,1187.0180,1186.5825,7694.8429,7705.1833,7700.0131,6.13,74.16,9.52,7.20,NaN
1187.0180,1187.8825,1187.4503,7705.1833,7714.8223,7710.0028,6.25,71.61,5.83,6.21,NaN
1187.8825,1188.7530,1188.3178,7714.8223,7725.1571,7719.9897,5.07,87.01,7.54,7.02,NaN
1188.7530,1189.8335,1189.2933,7725.1571,7735.6081,7730.3826,7.21,91.71,10.73,6.87,NaN
1189.8335,1191.0250,1190.4293,7735.6081,7745.0000,7740.3041,4.09,71.05,8.52,7.52,NaN
1191.0250,1192.1250,1191.5750,7745.0000,7754.6253,7749.8127,2.26,99.12,8.24,6.12,NaN
1192.1250,1193.1980,1192.6615,7754.6253,7765.1890,7759.9072,7.28,107.15,9.40,6.60,NaN
1193.1980,1194.2150,1193.7065,7765.1890,7774.8888,7770.0389,8.48,99.31,5.60,4.53,NaN
1194.2150,1195.1655,1194.6903,7774.8888,7784.5841,7779.7364,3.77,109.94,6.52,9.78,NaN
1195.1655,1196.2110,1195.6883,7784.5841,7794.9358,7789.7599,6.09,112.74,8.15,9.44,NaN
1196.2110,1197.2585,1196.7348,7794.9358,7805.0018,7799.9688,5.38,73.96,7.85,7.64,NaN
1197.2585,1198.2210,1197.7398,7805.0018,7814.9562,7809.9790,1.22,59.92,17.35,5.09,NaN
1198.2210,1199.1380,1198.6795,7814.9562,7824.8394,7819.8978,6.35,80.78,7.69,8.69,NaN
1199.1380,1200.1005,1199.6193,7824.8394,7835.0045,7829.9220,12.46,85.77,11.15,9.85,NaN
1200.1005,1201.1545,1200.6275,7835.0045,7844.7760,7839.8903,2.55,83.66,8.46,6.66,NaN
1201.1545,1202.1165,1201.6355,7844.7760,7854.9982,7849.8871,3.76,90.02,7.90,7.64,NaN
1202.1165,1202.9875,1202.5520,7854.9982,7864.8335,7859.9159,6.16,88.68,8.20,12.96,NaN
1202.9875,1203.8130,1203.4003,7864.8335,7875.1727,7870.0031,4.72,94.41,5.88,7.50,NaN
1203.8130,1204.6835,1204.2483,7875.1727,7885.0018,7880.0873,NaN,NaN,NaN,NaN,NaN
1204.6835,1205.5670,1205.1253,7885.0018,7894.8046,7889.9032,12.44,101.16,7.77,6.52,NaN
1205.5670,1206.4380,1206.0025,7894.8046,7905.1165,7899.9605,4.92,82.37,7.88,6.76,NaN
1206.4380,1207.3025,1206.8703,7905.1165,7914.8139,7909.9652,NaN,NaN,NaN,NaN,NaN
1207.3025,1208.1535,1207.7280,7914.8139,7924.9082,7919.8611,4.61,74.28,9.05,6.82,NaN
1208.1535,1209.0180,1208.5858,7924.9082,7935.1833,7930.0458,5.73,87.51,5.50,4.76,NaN
1209.0180,1209.9545,1209.4863,7935.1833,7944.7760,7939.9796,3.42,79.78,18.24,8.08,NaN
1209.9545,1210.9995,1210.4770,7944.7760,7955.0793,7949.9276,3.12,75.58,8.22,7.63,NaN
1210.9995,1211.9620,1211.4808,7955.0793,7964.9605,7960.0199,3.65,81.00,13.80,9.24,NaN
1211.9620,1212.8420,1212.4020,7964.9605,7975.0036,7969.9820,5.79,83.52,9.06,7.62,NaN
1212.8420,1213.7130,1213.2775,7975.0036,7985.1727,7980.0882,7.48,107.46,9.43,10.06,NaN
1213.7130,1214.5380,1214.1255,7985.1727,7994.8394,7990.0061,6.83,89.06,7.74,7.51,NaN
1214.5380,1215.4085,1214.9733,7994.8394,8005.0018,7999.9206,5.81,87.82,8.46,6.59,NaN
1215.4085,1216.2790,1215.8438,8005.0018,8014.9424,8009.9721,10.79,96.56,12.19,7.96,NaN
1216.2790,1217.1170,1216.6980,8014.9424,8024.8046,8019.8735,7.86,97.33,8.38,9.94,NaN
1217.1170,1217.8965,1217.5068,8024.8046,8034.8900,8029.8473,7.92,87.30,11.05,8.86,NaN
1217.8965,1218.7450,1218.3208,8034.8900,8045.2224,8040.0562,11.31,95.22,10.35,8.39,NaN
1218.7450,1219.6615,1219.2033,8045.2224,8054.9546,8050.0885,8.33,101.33,12.90,10.76,NaN
1219.6615,1220.5025,1220.0820,8054.9546,8064.8139,8059.8842,5.94,79.02,7.19,5.08,NaN
1220.5025,1221.3275,1220.9150,8064.8139,8075.1305,8069.9722,3.52,75.85,11.72,4.82,NaN
1221.3275,1222.1230,1221.7253,8075.1305,8084.6481,8079.8893,16.07,133.25,8.46,7.10,NaN
1222.1230,1222.9940,1222.5585,8084.6481,8095.1454,8089.8967,NaN,NaN,NaN,NaN,NaN
1222.9940,1223.8535,1223.4238,8095.1454,8104.6867,8099.9160,6.36,103.10,11.19,9.22,NaN
1223.8535,1224.6195,1224.2365,8104.6867,8115.0609,8109.8738,12.86,95.54,12.49,8.72,NaN
1224.6195,1225.3755,1224.9975,8115.0609,8124.8339,8119.9474,6.16,83.82,9.74,9.14,NaN
1225.3755,1226.1675,1225.7715,8124.8339,8135.2813,8130.0576,14.29,97.35,12.85,12.29,NaN
1226.1675,1226.9735,1226.5705,8135.2813,8144.4986,8139.8900,7.95,85.97,9.39,8.95,NaN
1226.9735,1227.7135,1227.3435,8144.4986,8155.2927,8149.8957,6.64,93.84,8.05,10.70,NaN
1227.7135,1228.4200,1228.0668,8155.2927,8164.9353,8160.1140,8.82,85.66,6.15,9.09,NaN
1228.4200,1229.1270,1228.7735,8164.9353,8175.1406,8170.0380,NaN,NaN,NaN,NaN,NaN
1229.1270,1229.8260,1229.4765,8175.1406,8184.6895,8179.9151,11.38,98.14,10.81,11.60,NaN
1229.8260,1230.4720,1230.1490,8184.6895,8194.9964,8189.8429,11.43,113.47,11.49,17.11,NaN
1230.4720,1231.1140,1230.7930,8194.9964,8205.0925,8200.0444,4.92,74.65,9.61,8.30,NaN
1231.1140,1231.8825,1231.4983,8205.0925,8214.8223,8209.9574,8.62,84.99,10.37,11.99,NaN
1231.8825,1232.6730,1232.2778,8214.8223,8224.8594,8219.8408,11.94,98.52,11.42,9.81,NaN
1232.6730,1233.4195,1233.0463,8224.8594,8235.0609,8229.9601,4.67,90.88,9.43,7.97,NaN
1233.4195,1234.2790,1233.8493,8235.0609,8245.4211,8240.2410,9.35,101.14,11.60,9.65,NaN
1234.2790,1235.2455,1234.7623,8245.4211,8255.2273,8250.3242,6.09,79.11,9.70,7.11,NaN
1235.2455,1236.2080,1235.7268,8255.2273,8264.9171,8260.0722,4.59,85.68,10.51,8.40,NaN
1236.2080,1237.0880,1236.6480,8264.9171,8274.8394,8269.8783,15.06,120.70,7.68,7.33,NaN
1237.0880,1237.8930,1237.4905,8274.8394,8285.0018,8279.9206,5.13,93.96,7.86,9.33,NaN
